chamber,avg_efficiency
W-2_RB1in_S01,45.6456336975
W-2_RB1out_S01,51.7855091095
W-2_RB2in_S01,73.7387504575
W-2_RB2out_S01,78.86255645766666
W-2_RB3+_S01,86.6017799375
W-2_RB3-_S01,84.476978302
W-2_RB4+_S01,54.301618576
W-2_RB4-_S01,0.0
W-2_RB1in_S02,43.9519176485
W-2_RB1out_S02,51.8640785215
W-2_RB2in_S02,70.6966247555
W-2_RB2out_S02,79.82792409233333
W-2_RB3+_S02,0.0
W-2_RB3-_S02,71.717128754
W-2_RB4+_S02,48.452156067
W-2_RB4-_S02,29.723899841
W-2_RB1in_S03,45.375085831
W-2_RB1out_S03,52.7869644165
W-2_RB2in_S03,73.4370956425
W-2_RB2out_S03,78.310134888
W-2_RB3+_S03,74.059402466
W-2_RB3-_S03,0.0
W-2_RB4+_S03,46.98327446
W-2_RB4-_S03,52.220077514500005
W-2_RB1in_S04,47.616508484
W-2_RB1out_S04,55.9489421845
W-2_RB2in_S04,74.0074386595
W-2_RB2out_S04,70.62004725133333
W-2_RB3+_S04,91.3531951905
W-2_RB3-_S04,80.806804657
W-2_RB4++_S04,75.8465881345
W-2_RB4+_S04,82.0883598325
W-2_RB4--_S04,54.9093399045
W-2_RB4-_S04,0.0
W-2_RB1in_S05,46.306547165
W-2_RB1out_S05,50.3738880155
W-2_RB2in_S05,68.2986907955
W-2_RB2out_S05,76.95942942266666
W-2_RB3+_S05,85.81303787249999
W-2_RB3-_S05,83.6218910215
W-2_RB4+_S05,42.207792282
W-2_RB4-_S05,0.0
W-2_RB1in_S06,47.688058853
W-2_RB1out_S06,56.6487140655
W-2_RB2in_S06,77.287540436
W-2_RB2out_S06,78.85693868
W-2_RB3+_S06,81.6064071655
W-2_RB3-_S06,84.8182983395
W-2_RB4+_S06,48.0392141345
W-2_RB4-_S06,41.990468979
W-2_RB1in_S07,44.125108719
W-2_RB1out_S07,48.637681961
W-2_RB2in_S07,63.689809799
W-2_RB2out_S07,73.815612793
W-2_RB3+_S07,84.843421936
W-2_RB3-_S07,85.2879905705
W-2_RB4+_S07,43.5598363875
W-2_RB4-_S07,0.0
W-2_RB1in_S08,45.722963333
W-2_RB1out_S08,33.4411935805
W-2_RB2in_S08,74.3521308895
W-2_RB2out_S08,77.07814788833333
W-2_RB3+_S08,85.416355133
W-2_RB3-_S08,86.1469459535
W-2_RB4+_S08,0.0
W-2_RB4-_S08,44.2857141495
W-2_RB1in_S09,44.4347877505
W-2_RB1out_S09,47.9406929015
W-2_RB2in_S09,71.3625297545
W-2_RB2out_S09,70.84733454399999
W-2_RB3+_S09,79.7587242125
W-2_RB3-_S09,76.3521728515
W-2_RB4_S09,49.833978653
W-2_RB1in_S10,49.7676906585
W-2_RB1out_S10,47.3208122255
W-2_RB2in_S10,73.6164245605
W-2_RB2out_S10,78.56469472233333
W-2_RB3+_S10,82.2801856995
W-2_RB3-_S10,69.20297241200001
W-2_RB4+_S10,88.451007843
W-2_RB4-_S10,86.68580627450001
W-2_RB1in_S11,44.7977352145
W-2_RB1out_S11,52.822748184000005
W-2_RB2in_S11,74.5253829955
W-2_RB2out_S11,78.49953206366666
W-2_RB3+_S11,88.081451416
W-2_RB3-_S11,86.5876846315
W-2_RB4_S11,58.7719306945
W-2_RB1in_S12,45.713186264
W-2_RB1out_S12,51.436914444
W-2_RB2in_S12,70.016998291
W-2_RB2out_S12,73.21414438866667
W-2_RB3+_S12,0.0
W-2_RB3-_S12,93.478317261
W-2_RB4+_S12,51.190477371
W-2_RB4-_S12,53.835978508
W-1_RB1in_S01,78.5677909855
W-1_RB1out_S01,78.8781547545
W-1_RB2in_S01,84.15992482533333
W-1_RB2out_S01,79.6045036315
W-1_RB3+_S01,0.0
W-1_RB3-_S01,0.0
W-1_RB4+_S01,81.496547699
W-1_RB4-_S01,0.0
W-1_RB1in_S02,72.5263137815
W-1_RB1out_S02,75.627532959
W-1_RB2in_S02,84.59451548233334
W-1_RB2out_S02,78.69247818
W-1_RB3+_S02,87.08346176149999
W-1_RB3-_S02,83.78809738199999
W-1_RB4+_S02,0.0
W-1_RB4-_S02,0.0
W-1_RB1in_S03,78.885974884
W-1_RB1out_S03,80.929512024
W-1_RB2in_S03,81.30598195366667
W-1_RB2out_S03,81.4171524045
W-1_RB3+_S03,87.4363212585
W-1_RB3-_S03,87.0403671265
W-1_RB4+_S03,79.721103668
W-1_RB4-_S03,72.7995643615
W-1_RB1in_S04,74.00754547150001
W-1_RB1out_S04,36.0982170105
W-1_RB2in_S04,67.89457448333333
W-1_RB2out_S04,0.0
W-1_RB3+_S04,85.190460205
W-1_RB3-_S04,81.541934967
W-1_RB4++_S04,0.0
W-1_RB4+_S04,0.0
W-1_RB4--_S04,86.3700523375
W-1_RB4-_S04,84.328941345
W-1_RB1in_S05,74.92404174800001
W-1_RB1out_S05,79.19077301050001
W-1_RB2in_S05,81.86689503999999
W-1_RB2out_S05,84.524532318
W-1_RB3+_S05,88.70337677
W-1_RB3-_S05,87.1451683045
W-1_RB4+_S05,0.0
W-1_RB4-_S05,0.0
W-1_RB1in_S06,76.221992493
W-1_RB1out_S06,69.907363892
W-1_RB2in_S06,81.45883687333334
W-1_RB2out_S06,78.8063545225
W-1_RB3+_S06,65.427938461
W-1_RB3-_S06,75.5195007325
W-1_RB4+_S06,73.0097084045
W-1_RB4-_S06,65.04524612399999
W-1_RB1in_S07,73.241428375
W-1_RB1out_S07,72.9443740845
W-1_RB2in_S07,52.427027384666665
W-1_RB2out_S07,38.935016632
W-1_RB3+_S07,85.9937438965
W-1_RB3-_S07,87.85360717750001
W-1_RB4+_S07,0.0
W-1_RB4-_S07,0.0
W-1_RB1in_S08,75.6282310485
W-1_RB1out_S08,78.104606628
W-1_RB2in_S08,83.74476369233334
W-1_RB2out_S08,82.553752899
W-1_RB3+_S08,76.76156806899999
W-1_RB3-_S08,86.684146881
W-1_RB4+_S08,0.0
W-1_RB4-_S08,0.0
W-1_RB1in_S09,72.14340972900001
W-1_RB1out_S09,74.190711975
W-1_RB2in_S09,79.19984690366665
W-1_RB2out_S09,76.2301483155
W-1_RB3+_S09,81.1841697695
W-1_RB3-_S09,77.27263259899999
W-1_RB4_S09,84.882698059
W-1_RB1in_S10,77.291442871
W-1_RB1out_S10,78.23815536500001
W-1_RB2in_S10,81.36896006266666
W-1_RB2out_S10,85.8786354065
W-1_RB3+_S10,42.1527175905
W-1_RB3-_S10,67.175266266
W-1_RB4+_S10,88.201160431
W-1_RB4-_S10,86.6672935485
W-1_RB1in_S11,76.757511139
W-1_RB1out_S11,80.0914611815
W-1_RB2in_S11,72.831021627
W-1_RB2out_S11,81.48554229749999
W-1_RB3+_S11,62.600687027000006
W-1_RB3-_S11,0.0
W-1_RB4_S11,86.6068763735
W-1_RB1in_S12,70.310009003
W-1_RB1out_S12,69.38196945199999
W-1_RB2in_S12,81.69673411066667
W-1_RB2out_S12,61.464691162
W-1_RB3+_S12,0.0
W-1_RB3-_S12,79.839981079
W-1_RB4+_S12,64.918521881
W-1_RB4-_S12,74.8922424315
W+0_RB1in_S01,77.5742034915
W+0_RB1out_S01,76.81245803799999
W+0_RB2in_S01,85.89033253966666
W+0_RB2out_S01,59.426855087
W+0_RB3+_S01,86.68176650999999
W+0_RB3-_S01,82.210449219
W+0_RB4+_S01,0.0
W+0_RB4-_S01,0.0
W+0_RB1in_S02,63.687786102
W+0_RB1out_S02,83.1345329285
W+0_RB2in_S02,76.859474182
W+0_RB2out_S02,84.3227920535
W+0_RB3+_S02,89.3921318055
W+0_RB3-_S02,76.893377304
W+0_RB4+_S02,80.262752533
W+0_RB4-_S02,85.7966499325
W+0_RB1in_S03,80.4304542545
W+0_RB1out_S03,82.72222900400001
W+0_RB2in_S03,0.0
W+0_RB2out_S03,77.3420143125
W+0_RB3+_S03,86.4936599735
W+0_RB3-_S03,65.051092148
W+0_RB4+_S03,83.57514572150001
W+0_RB4-_S03,87.5989685055
W+0_RB1in_S04,74.63462066650001
W+0_RB1out_S04,75.889995575
W+0_RB2in_S04,83.80901845266668
W+0_RB2out_S04,80.775192261
W+0_RB3+_S04,0.0
W+0_RB3-_S04,82.338623047
W+0_RB4++_S04,87.682281494
W+0_RB4+_S04,90.3557891845
W+0_RB4--_S04,85.80735015900001
W+0_RB4-_S04,87.5036582945
W+0_RB1in_S05,81.765525818
W+0_RB1out_S05,82.5454063415
W+0_RB2in_S05,49.32737731933333
W+0_RB2out_S05,77.66009521449999
W+0_RB3+_S05,81.6909217835
W+0_RB3-_S05,87.63363266
W+0_RB4+_S05,81.7155456545
W+0_RB4-_S05,81.182041168
W+0_RB1in_S06,77.771839142
W+0_RB1out_S06,78.9432640075
W+0_RB2in_S06,86.77181243900002
W+0_RB2out_S06,82.49285888700001
W+0_RB3+_S06,82.8758888245
W+0_RB3-_S06,83.550266266
W+0_RB4+_S06,87.45561981200001
W+0_RB4-_S06,84.324699402
W+0_RB1in_S07,81.671092987
W+0_RB1out_S07,81.189086914
W+0_RB2in_S07,87.39476013166666
W+0_RB2out_S07,82.8836479185
W+0_RB3+_S07,90.06649780250001
W+0_RB3-_S07,87.48563003500001
W+0_RB4+_S07,0.0
W+0_RB4-_S07,0.0
W+0_RB1in_S08,77.923618317
W+0_RB1out_S08,77.6756401065
W+0_RB2in_S08,85.27639770500001
W+0_RB2out_S08,79.85200119
W+0_RB3+_S08,83.18955993649999
W+0_RB3-_S08,84.9371414185
W+0_RB4+_S08,84.6661987305
W+0_RB4-_S08,87.960868835
W+0_RB1in_S09,75.174865723
W+0_RB1out_S09,75.4724349975
W+0_RB2in_S09,83.33185831700001
W+0_RB2out_S09,84.3138542175
W+0_RB3+_S09,89.442993164
W+0_RB3-_S09,93.15568161
W+0_RB4_S09,90.8274993895
W+0_RB1in_S10,80.5500946045
W+0_RB1out_S10,80.5980796815
W+0_RB2in_S10,83.02634175633334
W+0_RB2out_S10,83.634498596
W+0_RB3+_S10,87.9703865055
W+0_RB3-_S10,81.109336853
W+0_RB4+_S10,83.200279236
W+0_RB4-_S10,85.33813095100001
W+0_RB1in_S11,76.9198913575
W+0_RB1out_S11,78.9060897825
W+0_RB2in_S11,80.77297719333333
W+0_RB2out_S11,79.00078201299999
W+0_RB3+_S11,86.60631179800001
W+0_RB3-_S11,69.323261261
W+0_RB4_S11,83.7319602965
W+0_RB1in_S12,76.329574585
W+0_RB1out_S12,79.7773475645
W+0_RB2in_S12,84.77059173599999
W+0_RB2out_S12,84.33995056149999
W+0_RB3+_S12,88.28407287600001
W+0_RB3-_S12,88.69546890250001
W+0_RB4+_S12,89.41690063499999
W+0_RB4-_S12,86.382816315
W+1_RB1in_S01,76.8623352055
W+1_RB1out_S01,76.1718292235
W+1_RB2in_S01,63.82310994466667
W+1_RB2out_S01,85.5157852175
W+1_RB3+_S01,88.275299072
W+1_RB3-_S01,86.79916000349999
W+1_RB4+_S01,79.8981895445
W+1_RB4-_S01,67.4045791625
W+1_RB1in_S02,81.614433289
W+1_RB1out_S02,80.336528778
W+1_RB2in_S02,81.977643331
W+1_RB2out_S02,80.442378998
W+1_RB3+_S02,76.4565925595
W+1_RB3-_S02,84.2369766235
W+1_RB4+_S02,73.9299736025
W+1_RB4-_S02,77.221092224
W+1_RB1in_S03,73.309108734
W+1_RB1out_S03,50.800588608
W+1_RB2in_S03,83.94941965733334
W+1_RB2out_S03,75.8074188235
W+1_RB3+_S03,87.9195137025
W+1_RB3-_S03,82.13161087
W+1_RB4+_S03,83.3993301395
W+1_RB4-_S03,67.343372345
W+1_RB1in_S04,76.818778992
W+1_RB1out_S04,78.38120269800001
W+1_RB2in_S04,69.73742802933333
W+1_RB2out_S04,80.6561050415
W+1_RB3+_S04,85.3203125
W+1_RB3-_S04,85.381195068
W+1_RB4++_S04,0.0
W+1_RB4+_S04,0.0
W+1_RB4--_S04,0.0
W+1_RB4-_S04,0.0
W+1_RB1in_S05,79.665912628
W+1_RB1out_S05,70.82013702399999
W+1_RB2in_S05,85.22966003433334
W+1_RB2out_S05,80.66911697399999
W+1_RB3+_S05,87.927440643
W+1_RB3-_S05,81.35490035999999
W+1_RB4+_S05,78.276638031
W+1_RB4-_S05,86.394958496
W+1_RB1in_S06,76.87974929800001
W+1_RB1out_S06,75.924621582
W+1_RB2in_S06,86.10781606033333
W+1_RB2out_S06,84.31171417249999
W+1_RB3+_S06,89.433319092
W+1_RB3-_S06,88.65757751449999
W+1_RB4+_S06,75.377357483
W+1_RB4-_S06,74.889240265
W+1_RB1in_S07,76.600315094
W+1_RB1out_S07,73.76719665499999
W+1_RB2in_S07,80.86032867433333
W+1_RB2out_S07,81.72576141350001
W+1_RB3+_S07,89.03538513149999
W+1_RB3-_S07,81.6766967775
W+1_RB4+_S07,74.0163269045
W+1_RB4-_S07,76.071426392
W+1_RB1in_S08,73.73826599099999
W+1_RB1out_S08,78.6558036805
W+1_RB2in_S08,80.70565032933332
W+1_RB2out_S08,81.74565505999999
W+1_RB3+_S08,88.495040894
W+1_RB3-_S08,80.9611930845
W+1_RB4+_S08,80.66066741949999
W+1_RB4-_S08,77.04971694950001
W+1_RB1in_S09,77.9815864565
W+1_RB1out_S09,78.8399620055
W+1_RB2in_S09,64.495054881
W+1_RB2out_S09,63.5963897705
W+1_RB3+_S09,81.51116180400001
W+1_RB3-_S09,72.48386192299999
W+1_RB4_S09,86.5186309815
W+1_RB1in_S10,68.46527862549999
W+1_RB1out_S10,74.192646027
W+1_RB2in_S10,79.105969747
W+1_RB2out_S10,76.2999305725
W+1_RB3+_S10,84.76323318499999
W+1_RB3-_S10,78.507133484
W+1_RB4+_S10,84.59253692600001
W+1_RB4-_S10,82.197566986
W+1_RB1in_S11,76.34120178250001
W+1_RB1out_S11,73.489349365
W+1_RB2in_S11,81.88831837966667
W+1_RB2out_S11,78.51137542699999
W+1_RB3+_S11,87.365104675
W+1_RB3-_S11,83.39615249650001
W+1_RB4_S11,88.1234207155
W+1_RB1in_S12,72.1698760985
W+1_RB1out_S12,77.754058838
W+1_RB2in_S12,82.96091969833333
W+1_RB2out_S12,47.3730278015
W+1_RB3+_S12,84.6345100405
W+1_RB3-_S12,82.793498993
W+1_RB4+_S12,71.815475464
W+1_RB4-_S12,79.4545440675
W+2_RB1in_S01,54.694244385000005
W+2_RB1out_S01,33.211670875500005
W+2_RB2in_S01,51.472284317
W+2_RB2out_S01,67.325468699
W+2_RB3+_S01,80.478210449
W+2_RB3-_S01,58.09787941
W+2_RB4+_S01,43.230770111
W+2_RB4-_S01,61.1299419405
W+2_RB1in_S02,48.876832962
W+2_RB1out_S02,44.2166080475
W+2_RB2in_S02,76.69414138799999
W+2_RB2out_S02,80.81127675366668
W+2_RB3+_S02,85.78962326050001
W+2_RB3-_S02,85.92483902000001
W+2_RB4+_S02,55.167806625500006
W+2_RB4-_S02,52.4582958225
W+2_RB1in_S03,40.940357208
W+2_RB1out_S03,49.134120941
W+2_RB2in_S03,67.1391792295
W+2_RB2out_S03,75.08809153233334
W+2_RB3+_S03,84.597290039
W+2_RB3-_S03,79.7107810975
W+2_RB4+_S03,48.9086341855
W+2_RB4-_S03,49.168539047
W+2_RB1in_S04,45.2008762355
W+2_RB1out_S04,55.040222168
W+2_RB2in_S04,72.6603164675
W+2_RB2out_S04,76.701746623
W+2_RB3+_S04,86.57518386800001
W+2_RB3-_S04,77.1144123075
W+2_RB4++_S04,81.6890220645
W+2_RB4+_S04,87.0327301025
W+2_RB4--_S04,60.081001282
W+2_RB4-_S04,86.1722869875
W+2_RB1in_S05,47.956007004
W+2_RB1out_S05,54.5878219605
W+2_RB2in_S05,65.83782196050001
W+2_RB2out_S05,72.409907023
W+2_RB3+_S05,81.658855438
W+2_RB3-_S05,80.566410065
W+2_RB4+_S05,49.297573089500005
W+2_RB4-_S05,52.5362854005
W+2_RB1in_S06,45.997440338
W+2_RB1out_S06,49.182033539
W+2_RB2in_S06,69.556625366
W+2_RB2out_S06,76.12309773766667
W+2_RB3+_S06,84.1338081355
W+2_RB3-_S06,84.62906265250001
W+2_RB4+_S06,50.469041824
W+2_RB4-_S06,42.613636017000005
W+2_RB1in_S07,46.4465961455
W+2_RB1out_S07,53.5059833525
W+2_RB2in_S07,0.0
W+2_RB2out_S07,0.0
W+2_RB3+_S07,82.203266144
W+2_RB3-_S07,84.246067047
W+2_RB4+_S07,24.397031784
W+2_RB4-_S07,45.018796921
W+2_RB1in_S08,45.855852127000006
W+2_RB1out_S08,48.7529411315
W+2_RB2in_S08,61.58263015749999
W+2_RB2out_S08,48.926434835
W+2_RB3+_S08,85.87358474749999
W+2_RB3-_S08,82.59446716299999
W+2_RB4+_S08,0.0
W+2_RB4-_S08,54.04656219499999
W+2_RB1in_S09,49.162393570000006
W+2_RB1out_S09,55.633737564
W+2_RB2in_S09,77.14348602300001
W+2_RB2out_S09,76.318702698
W+2_RB3+_S09,84.65773773199999
W+2_RB3-_S09,85.19055938700001
W+2_RB4_S09,54.8098430635
W+2_RB1in_S10,47.91636467
W+2_RB1out_S10,53.0607604985
W+2_RB2in_S10,74.098144531
W+2_RB2out_S10,73.946807861
W+2_RB3+_S10,80.0198745725
W+2_RB3-_S10,81.3016166685
W+2_RB4+_S10,89.161846161
W+2_RB4-_S10,83.439395905
W+2_RB1in_S11,49.7343826295
W+2_RB1out_S11,39.384666443
W+2_RB2in_S11,68.44306182849999
W+2_RB2out_S11,73.46252187066666
W+2_RB3+_S11,86.84996032699999
W+2_RB3-_S11,0.0
W+2_RB4_S11,57.1990184785
W+2_RB1in_S12,23.39825282746405
W+2_RB1out_S12,26.987968445
W+2_RB2in_S12,55.4071655275
W+2_RB2out_S12,75.90592066433334
W+2_RB3+_S12,84.34934997549999
W+2_RB3-_S12,0.0
W+2_RB4+_S12,54.75308609
W+2_RB4-_S12,61.413043976
